brand,actual_price,ad,discount_price,product_url,product_img
H&M,Rs. 699,AD,Nil,https://www.myntra.com/eyeshadow/h%26m/hm-make-it-easy-waterproof-long-wear-eyeshadow-pen-sparkling-pink-15-g/37326109/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/18/ONuJsWyw_6eef8f8b470c445494c943b60522c9d8.jpg"
H&M,Rs. 799,AD,Nil,https://www.myntra.com/belts/h%26m/hm-webbing-belt/31945790/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/9TCimpdR_f76a5a60f56849c7913fa55e3dfa4c22.jpg"
H&M,Rs. 1199,AD,Nil,https://www.myntra.com/bra/h%26m/hm-women-seamless-padded-soft-bra/31853951/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/f6YdbrZk_5ada0377b6c144e9b9f2d19c34ac8ccc.jpg"
H&M,Rs. 1299,AD,Nil,https://www.myntra.com/perfume/h%26m/hm-white-air-eau-de-parfum-edp-long-lasting-fragrance-50-ml/37326105/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/16/CQ0cv0fg_5555a603bce64ce29ff0586e925d3a57.jpg"
H&M,Rs. 1299,AD,Nil,https://www.myntra.com/perfume/h%26m/hm-ruby-touch-eau-de-parfum-edp-long-lasting-fragrance-50-ml/37326104/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/16/3Aafe4Lj_a56cd3eaa03f44269330c615695e8ae7.jpg"
H&M,Rs. 299,AD,Nil,https://www.myntra.com/nail-polish/h%26m/hm-nail-polish---chalky-pink/12034770/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/16/ewpmtdoG_71b7834922364878a19bcc6ffa74a9a0.jpg"
H&M,Rs. 799,AD,Nil,https://www.myntra.com/makeup-pouch/h%26m/hm-keyring-make-up-bag/37177768/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/16/j9SaUhxG_fb0297a1ae174d40aded9b665f05a0c7.jpg"
H&M,Rs. 2299,AD,Nil,https://www.myntra.com/night-suits/h%26m/hm-women-overlocked-night-suit/36971621/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/9/c8nIZI0r_f53c20620a564aef9615b6c18bdc4ba8.jpg"
H&M,Rs. 1399,AD,Nil,https://www.myntra.com/lounge-pants/h%26m/hm-women-checked-mid-rise-lounge-pants/37776903/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/20/tilGMpFV_12abd35fa6554e9c8a0d8eb47bfc54a0.jpg"
H&M,Rs. 1699,AD,Nil,https://www.myntra.com/night-suits/h%26m/hm-pointelle-pyjamas/35970775/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/Fmd1KOka_a8c116973983469692454f8245b57d59.jpg"
