brand,product_type,product_price,product_actual_price,product_page_url,product_img_url
THE BEAR HOUSE,Men Solid Slim Fit Shirt,Rs. 764,Rs. 1699,https://www.myntra.com/shirts/the+bear+house/the-bear-house-men-slim-fit-solid-spread-collar-casual-cotton-shirt/36255408/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/6/hpoAsoTg_382d158bc2f44287ad7e7dcb8706dd2a.jpg"
Pepe Jeans,,Rs. 798,Rs. 1699,https://www.myntra.com/shirts/pepe+jeans/pepe-jeans-boys-tartan-checks-checked-casual-shirt/33554389/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/10/aD5C4dC6_b465e8078dc94e2b86804349f1155981.jpg"
Style Quotient,Women Formal Shirt,Rs. 584,Rs. 1499,https://www.myntra.com/shirts/style+quotient/style-quotient-women-white-formal-shirt/19761198/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19761198/2022/9/2/e05a447d-e6c7-4a5a-91ce-7b7972646f491662107951495StyleQuotientWomenWhiteClassicFormalShirt1.jpg"
THE BEAR HOUSE,Men Cotton Casual Shirt,Rs. 998,Rs. 2495,https://www.myntra.com/shirts/the+bear+house/the-bear-house-men-blue--white-classic-slim-fit-striped-pure-cotton-casual-shirt/17157164/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17157164/2022/3/18/4cdd7185-365f-4b4d-aed2-bd26e1854d671647579620851-THE-BEAR-HOUSE-Men-Shirts-5731647579620344-1.jpg"
Moda Rapido,,Rs. 422,Rs. 1499,https://www.myntra.com/shirts/moda+rapido/moda-rapido-women-casual-shirt/35701401/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/16/PYIVyguc_c26bd5aa836d44e586af94160c4d95eb.jpg"
Marks & Spencer,Opaque Casual Shirt,Rs. 849,Rs. 1699,https://www.myntra.com/shirts/marks+%26+spencer/marks--spencer-boys-opaque-casual-shirt/31597332/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/11/QLQsYb4i_5d5956ce167848059c4a1060f52e0e84.jpg"
THE BEAR HOUSE,Solid Slim Fit Cotton Shirt,Rs. 1022,Rs. 2495,https://www.myntra.com/shirts/the+bear+house/the-bear-house-men-beige-solid-slim-fit-cotton-shirt/19347680/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19347680/2022/8/11/bab8ebf1-5c92-4f6a-bdb9-ce7338dfaad01660214041988-THE-BEAR-HOUSE-Men-Shirts-4561660214041434-1.jpg"
CHARCHIT,,Rs. 995,Rs. 1290,https://www.myntra.com/shirts/charchit/charchit-boys-comfort-fit-graphic-printed-spread-collar-cotton-casual-shirt/36560641/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/3/polPAD4X_e20e5c8e600946359e45d9f0662637be.jpg"
H&M,Cotton Shirt,,,https://www.myntra.com/shirts/h%26m/hm-cotton-shirt/38224269/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/15/1N9R24Zu_dc7945ccaf3c490d82b1285b9f01d5f5.jpg"
AD By Arvind,Slim Fit Opaque Casual Shirt,Rs. 1019,Rs. 1699,https://www.myntra.com/shirts/ad+by+arvind/ad-by-arvind-solid-slim-fit-patterned-weave-shirt/29066020/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29066020/2025/2/15/866dbec0-9a61-4ea8-9d05-acf7db9cf0f71739614572474-AD-By-Arvind-Geometric-Patterned-Slim-Fit-Shirt-203173961457-1.jpg"
Allen Solly Junior,,Rs. 671,Rs. 1399,https://www.myntra.com/shirts/allen+solly+junior/allen-solly-junior-boys-vertical-striped-pure-cotton-casual-shirt/37945953/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/8/4mV6Gd1U_28c7e52ff4874a91ad70f9da931c6299.jpg"
Nautica,Casual Shirt,Rs. 559,Rs. 1999,https://www.myntra.com/shirts/nautica/nautica-boys-premium-casual-shirt/37984187/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/24/yrt9Li07_c615f620922d4600bc8b463a82b9e003.jpg"
Nautica,Slim Cotton Linen Shirt,Rs. 863,Rs. 2699,https://www.myntra.com/shirts/nautica/nautica-slim-fit-self-design-textured-cotton-linen-casual-shirt/38207237/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/8/LowkFlha_67ad583c907e4804975dbd1d167aa406.jpg"
NEXT,,Rs. 1249,Rs. 2499,https://www.myntra.com/shirts/next/next-boys-embroidered-denim-casual-shirt/39068812/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/20/A5Bvs51A_28ee5fc9ab324352ab9759fe87839e61.jpg"
Roadster,Pure Cotton Casual Shirt,Rs. 869,Rs. 2199,https://www.myntra.com/shirts/roadster/the-roadster-life-co-pinstripes-pure-cotton-wrap-style-pure-cotton-shirt-/39326278/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/21/k5u6CWxz_53f521315db74ac7b3d626f5a5270d0e.jpg"
