brand,product_type,product_price,product_actual_price,product_page_url,product_img_url
VASTRADO,Slim Fit Casual Shirt,Rs. 874,Rs. 1749,https://www.myntra.com/shirts/vastrado/vastrado-men-classic-slim-fit-casual-shirt/39709551/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/30/TkOPEzam_538a1de40b574a1cb369861e34581b78.jpg"
Roadster,Cotton Relaxed Fit Shirt,Rs. 509,Rs. 1499,https://www.myntra.com/shirts/roadster/the-roadster-life-co-checked-pure-cotton-relaxed-fit-shirt/32020582/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/29/GJWD0TRE_439a7a3f5e9e4a93b0565eac4eeb7ae8.jpg"
Rocket Science,,Rs. 634,Rs. 1299,https://www.myntra.com/shirts/rocket+science/rocket-scinece-boys-cotton-single-pocket-casual-striped-shirt/34668412/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/30/wGZ68pt7_af8307375cd249cc89b0b8ac6bf0a2a4.jpg"
Mast & Harbour,Men Slim Fit Casual Shirt,Rs. 465,Rs. 2099,https://www.myntra.com/shirts/mast+%26+harbour/mast--harbour-men-blue--white-slim-fit-striped-casual-shirt/8717979/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/12/iSJz5Njt_c1194cf91f2345f0aa27b4c49e12e0e3.jpg"
HERE&NOW,Smart CottonLinen Casual Shirt,Rs. 599,Rs. 1498,https://www.myntra.com/shirts/here%26now/herenow-men-smart-casual-shirt/39087276/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/31/fvE6gUIK_38a9d5f8cfc0421889a81e2202ba976c.jpg"
Powerlook,Men Striped Casual Shirt,Rs. 799,Rs. 1999,https://www.myntra.com/shirts/powerlook/powerlook-men-spread-collar-vertical-striped-cotton-casual-shirt/31236637/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31236637/2025/6/12/99458c01-cb61-4801-9483-b279e7b380d21749734626836-Powerlook-Men-Spread-Collar-Vertical-Striped-Cotton-Casual-S-1.jpg"
NEXT,Boys Embroidered Shirt,Rs. 1624,Rs. 2499,https://www.myntra.com/shirts/next/next-boys-embroidered-denim-casual-shirt/39068812/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/20/A5Bvs51A_28ee5fc9ab324352ab9759fe87839e61.jpg"
AWW HUNNIE,,Rs. 475,Rs. 1799,https://www.myntra.com/shirts/aww+hunnie/aww-hunnie-boys-comfort-checked-casual-shirt/32428597/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/22/VACl49Oq_72ca73a16e8e4651ad112e753d172546.jpg"
Campus Sutra,Men Checked Casual Shirt,Rs. 1059,Rs. 1999,https://www.myntra.com/shirts/campus+sutra/campus-sutra-men-comfort-spread-collar-checked-relaxed-fit-casual-shirt/31732728/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/25/HpkHawUc_8b1db6f049c141b8b54948ac98a0cf6e.jpg"
HELLCAT,Boys Cotton Casual Shirt,Rs. 340,Rs. 1999,https://www.myntra.com/shirts/hellcat/hellcat-boys-cotton-opaque-printed-casual-shirt/30175036/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30175036/2024/7/10/54c1c188-4d9f-4075-b583-9f2287e821cd1720634288720HELLCATBoysFloralOpaquePrintedCasualShirt1.jpg"
U.S. Polo Assn. Kids,,Rs. 1119,Rs. 1999,https://www.myntra.com/shirts/u.s.+polo+assn.+kids/us-polo-assn-kids-boys-classic-fit-checked-spread-collar-cotton-casual-shirt/33984608/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/7/D2FLJO8p_922e02b16c9a4da0ba59a144e5fb04a5.jpg"
Red Tape,Opaque Casual Shirt,Rs. 754,Rs. 4099,https://www.myntra.com/shirts/red+tape/red-tape-men-stretched-stripe-loose-fit-spread-collar-shirt/33143346/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/10/1ZBTW7J2_ca8f8e63e701448f9fc4d91c124a408d.jpg"
United Colors of Benetton,Band Collar Casual Shirt,Rs. 794,Rs. 1499,https://www.myntra.com/shirts/united+colors+of+benetton/united-colors-of-benetton-band-collar-casual-shirt/36388121/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/30/x3euexkZ_f789bffee6994f16ad18584609851fe8.jpg"
H&M,,,,https://www.myntra.com/shirts/h%26m/hm-cotton-shirt/34539737/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/kYEACVUo_4755bde87ba94c429ba66747a10f1ac5.jpg"
